turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.5882352941176471,0.35778175313059035,1.0,0.5,3,2
2,0.9803921568627451,0.7155635062611807,0.6666666666666666,0.5,5,4
3,1.1764705882352942,0.8944543828264758,0.3333333333333333,0.2,6,5
4,1.3725490196078431,1.073345259391771,0.25,0.16666666666666666,7,6
5,1.5686274509803921,1.2522361359570662,0.25,0.14285714285714285,8,7
6,1.5686274509803921,1.2522361359570662,0.0,0.0,8,7
7,1.7647058823529411,1.4311270125223614,0.2,0.125,9,8
8,1.9607843137254901,1.6100178890876566,0.2,0.125,10,9
9,2.156862745098039,1.7889087656529516,0.16666666666666666,0.1111111111111111,11,10
10,2.3529411764705883,1.9677996422182469,0.16666666666666666,0.1111111111111111,12,11
11,2.549019607843137,2.146690518783542,0.14285714285714285,0.1,13,12
12,2.7450980392156863,2.3255813953488373,0.14285714285714285,0.1,14,13
13,2.941176470588235,2.5044722719141324,0.125,0.09090909090909091,15,14
14,3.1372549019607843,2.6833631484794274,0.125,0.09090909090909091,16,15
15,3.3333333333333335,2.862254025044723,0.1111111111111111,0.08333333333333333,17,16
16,3.5294117647058822,3.041144901610018,0.1111111111111111,0.08333333333333333,18,17
17,3.7254901960784315,3.2200357781753133,0.1,0.07692307692307693,19,18
18,3.9215686274509802,3.3989266547406083,0.1,0.07692307692307693,20,19
19,4.117647058823529,3.5778175313059033,0.09090909090909091,0.07142857142857142,21,20
20,4.313725490196078,3.7567084078711988,0.09090909090909091,0.07142857142857142,22,21
21,4.509803921568627,3.9355992844364938,0.08333333333333333,0.06666666666666667,23,22
22,4.705882352941177,4.114490161001789,0.08333333333333333,0.06666666666666667,24,23
23,4.901960784313726,4.293381037567084,0.07692307692307693,0.0625,25,24
24,5.098039215686274,4.47227191413238,0.07692307692307693,0.0625,26,25
25,5.294117647058823,4.651162790697675,0.07142857142857142,0.058823529411764705,27,26
26,5.490196078431373,4.83005366726297,0.07142857142857142,0.058823529411764705,28,27
27,5.686274509803922,5.008944543828265,0.06666666666666667,0.05555555555555555,29,28
28,5.88235294117647,5.18783542039356,0.06666666666666667,0.05555555555555555,30,29
29,6.078431372549019,5.366726296958855,0.0625,0.05263157894736842,31,30
30,6.078431372549019,5.545617173524151,0.0,0.05263157894736842,31,31
31,6.078431372549019,5.545617173524151,0.0,0.0,31,31
32,6.2745098039215685,5.724508050089446,0.058823529411764705,0.05,32,32
33,6.470588235294119,5.903398926654741,0.05555555555555555,0.05,33,33
34,6.470588235294119,6.082289803220036,0.0,0.047619047619047616,33,34
35,6.470588235294119,6.082289803220036,0.0,0.0,33,34
36,6.470588235294119,6.082289803220036,0.0,0.0,33,34
37,6.470588235294119,6.082289803220036,0.0,0.0,33,34
38,6.470588235294119,6.082289803220036,0.0,0.0,33,34
39,6.470588235294119,6.082289803220036,0.0,0.0,33,34
40,6.470588235294119,6.261180679785331,0.0,0.043478260869565216,33,35
41,6.470588235294119,6.261180679785331,0.0,0.0,33,35
42,6.470588235294119,6.261180679785331,0.0,0.0,33,35
43,6.470588235294119,6.261180679785331,0.0,0.0,33,35
44,6.470588235294119,6.261180679785331,0.0,0.0,33,35
45,6.470588235294119,6.261180679785331,0.0,0.0,33,35
46,6.470588235294119,6.261180679785331,0.0,0.0,33,35
47,6.470588235294119,6.261180679785331,0.0,0.0,33,35
48,6.470588235294119,6.261180679785331,0.0,0.0,33,35
49,6.666666666666667,6.440071556350627,0.047619047619047616,0.038461538461538464,34,36
50,6.862745098039216,6.618962432915922,0.05,0.037037037037037035,35,37
51,7.0588235294117645,6.797853309481217,0.045454545454545456,0.037037037037037035,36,38
52,7.254901960784315,6.976744186046512,0.047619047619047616,0.038461538461538464,37,39
53,7.450980392156863,7.155635062611807,0.045454545454545456,0.038461538461538464,38,40
54,7.8431372549019605,7.5134168157423975,0.09523809523809523,0.07692307692307693,40,42
55,8.235294117647058,7.8711985688729875,0.09090909090909091,0.07692307692307693,42,44
56,8.627450980392156,8.228980322003578,0.09090909090909091,0.07142857142857142,44,46
57,9.019607843137255,8.586762075134168,0.08695652173913043,0.07407407407407407,46,48
58,9.215686274509805,8.765652951699463,0.047619047619047616,0.03571428571428571,47,49
59,9.411764705882353,8.94454382826476,0.043478260869565216,0.037037037037037035,48,50
60,9.607843137254903,9.123434704830053,0.047619047619047616,0.037037037037037035,49,51
61,9.803921568627452,9.30232558139535,0.05,0.04,50,52
62,10.0,9.838998211091235,0.05,0.11538461538461539,51,55
63,10.392156862745098,10.196779964221825,0.08695652173913043,0.07407407407407407,53,57
64,10.784313725490197,10.554561717352415,0.09090909090909091,0.07142857142857142,55,59
65,11.372549019607844,11.091234347048301,0.13636363636363635,0.10714285714285714,58,62
66,11.76470588235294,11.449016100178891,0.09090909090909091,0.07142857142857142,60,64
67,12.352941176470589,11.985688729874775,0.13043478260869565,0.10714285714285714,63,67
68,12.549019607843137,12.343470483005367,0.045454545454545456,0.08,64,69
69,12.549019607843137,12.522361359570661,0.0,0.03571428571428571,64,70
70,12.941176470588237,12.880143112701253,0.09090909090909091,0.06896551724137931,66,72
71,13.333333333333334,13.237924865831843,0.08695652173913043,0.06896551724137931,68,74
72,13.92156862745098,13.774597495527727,0.13043478260869565,0.10344827586206896,71,77
73,14.50980392156863,14.311270125223613,0.13043478260869565,0.10344827586206896,74,80
74,14.901960784313726,14.847942754919499,0.09090909090909091,0.10344827586206896,76,83
75,15.490196078431373,15.384615384615385,0.125,0.10344827586206896,79,86
76,15.88235294117647,15.92128801431127,0.09090909090909091,0.10344827586206896,81,89
77,16.274509803921568,16.27906976744186,0.08333333333333333,0.06896551724137931,83,91
78,16.666666666666664,16.636851520572453,0.1,0.07142857142857142,85,93
79,17.058823529411764,17.173524150268335,0.08333333333333333,0.10344827586206896,87,96
80,17.254901960784313,17.352415026833633,0.043478260869565216,0.037037037037037035,88,97
81,17.84313725490196,17.88908765652952,0.13043478260869565,0.10344827586206896,91,100
82,18.43137254901961,18.425760286225405,0.13043478260869565,0.1,94,103
83,18.43137254901961,18.783542039355993,0.0,0.07142857142857142,94,105
84,18.627450980392158,19.141323792486585,0.045454545454545456,0.06896551724137931,95,107
85,18.823529411764707,19.32021466905188,0.043478260869565216,0.034482758620689655,96,108
86,19.019607843137255,19.499105545617173,0.047619047619047616,0.03571428571428571,97,109
87,19.411764705882355,19.856887298747765,0.08333333333333333,0.06896551724137931,99,111
88,19.607843137254903,20.03577817531306,0.047619047619047616,0.03333333333333333,100,112
89,19.80392156862745,20.214669051878353,0.043478260869565216,0.03333333333333333,101,113
90,19.80392156862745,20.214669051878353,0.0,0.0,101,113
91,20.19607843137255,20.572450805008945,0.09090909090909091,0.06666666666666667,103,115
92,20.588235294117645,20.930232558139537,0.09523809523809523,0.06666666666666667,105,117
93,20.784313725490197,21.10912343470483,0.041666666666666664,0.03333333333333333,106,118
94,20.980392156862745,21.288014311270125,0.043478260869565216,0.03333333333333333,107,119
95,21.372549019607842,21.645796064400717,0.08695652173913043,0.06666666666666667,109,121
96,21.764705882352942,22.003577817531305,0.08695652173913043,0.06666666666666667,111,123
97,21.96078431372549,22.182468694096602,0.043478260869565216,0.03333333333333333,112,124
98,22.15686274509804,22.361359570661897,0.043478260869565216,0.03333333333333333,113,125
99,22.54901960784314,22.719141323792485,0.08333333333333333,0.06896551724137931,115,127
100,22.745098039215687,22.898032200357783,0.047619047619047616,0.03333333333333333,116,128
101,23.137254901960784,23.25581395348837,0.08695652173913043,0.06666666666666667,118,130
102,23.72549019607843,23.792486583184257,0.13636363636363635,0.1,121,133
103,24.11764705882353,24.15026833631485,0.08695652173913043,0.06896551724137931,123,135
104,24.313725490196077,24.329159212880143,0.045454545454545456,0.03333333333333333,124,136
105,24.509803921568626,24.508050089445437,0.041666666666666664,0.034482758620689655,125,137
106,24.901960784313726,24.86583184257603,0.09090909090909091,0.06896551724137931,127,139
107,25.49019607843137,25.402504472271914,0.13043478260869565,0.1,130,142
108,25.68627450980392,25.581395348837212,0.043478260869565216,0.03333333333333333,131,143
109,26.078431372549023,25.939177101967797,0.08695652173913043,0.06666666666666667,133,145
110,26.27450980392157,26.118067978533094,0.043478260869565216,0.03333333333333333,134,146
111,26.666666666666668,26.475849731663686,0.08695652173913043,0.06666666666666667,136,148
112,27.058823529411764,26.833631484794275,0.08695652173913043,0.06666666666666667,138,150
113,27.450980392156865,27.191413237924866,0.08695652173913043,0.06666666666666667,140,152
114,27.647058823529413,27.370304114490164,0.045454545454545456,0.03333333333333333,141,153
115,28.03921568627451,27.72808586762075,0.08333333333333333,0.06896551724137931,143,155
116,28.431372549019606,28.085867620751344,0.08695652173913043,0.06896551724137931,145,157
117,28.823529411764703,28.44364937388193,0.08695652173913043,0.06666666666666667,147,159
118,29.01960784313726,28.622540250447226,0.045454545454545456,0.03333333333333333,148,160
119,29.411764705882355,28.980322003577818,0.09090909090909091,0.06666666666666667,150,162
120,29.411764705882355,29.159212880143116,0.0,0.03333333333333333,150,163
121,29.607843137254903,29.338103756708406,0.043478260869565216,0.03333333333333333,151,164
122,30.0,29.695885509838998,0.09090909090909091,0.06666666666666667,153,166
123,30.392156862745097,30.05366726296959,0.08695652173913043,0.06666666666666667,155,168
124,30.784313725490197,30.41144901610018,0.09523809523809523,0.06666666666666667,157,170
125,31.176470588235293,30.76923076923077,0.08333333333333333,0.06666666666666667,159,172
126,31.372549019607842,31.12701252236136,0.047619047619047616,0.06666666666666667,160,174
127,31.56862745098039,31.48479427549195,0.043478260869565216,0.06666666666666667,161,176
128,31.76470588235294,31.663685152057248,0.043478260869565216,0.034482758620689655,162,177
129,32.15686274509804,32.021466905187836,0.08333333333333333,0.06666666666666667,164,179
130,32.35294117647059,32.200357781753134,0.043478260869565216,0.034482758620689655,165,180
131,32.745098039215684,32.55813953488372,0.08695652173913043,0.06666666666666667,167,182
132,32.94117647058823,32.73703041144901,0.043478260869565216,0.03333333333333333,168,183
133,32.94117647058823,32.73703041144901,0.0,0.0,168,183
134,33.52941176470588,33.273703041144906,0.13043478260869565,0.10344827586206896,171,186
135,34.11764705882353,33.810375670840784,0.125,0.1,174,189
136,34.509803921568626,34.34704830053667,0.08695652173913043,0.10344827586206896,176,192
137,34.90196078431372,34.704830053667266,0.08333333333333333,0.06896551724137931,178,194
138,35.490196078431374,35.241502683363144,0.13636363636363635,0.1,181,197
139,36.07843137254902,35.77817531305904,0.125,0.1,184,200
140,36.470588235294116,36.135957066189626,0.09090909090909091,0.06666666666666667,186,202
141,36.86274509803922,36.67262969588551,0.08333333333333333,0.1,188,205
142,37.254901960784316,37.0304114490161,0.09090909090909091,0.06666666666666667,190,207
143,37.84313725490196,37.567084078711986,0.125,0.1,193,210
144,38.43137254901961,38.10375670840787,0.13636363636363635,0.1,196,213
145,39.01960784313726,38.64042933810376,0.125,0.1,199,216
146,39.6078431372549,39.17710196779964,0.13043478260869565,0.1,202,219
147,40.19607843137255,39.71377459749553,0.125,0.1,205,222
148,40.78431372549019,40.250447227191415,0.13043478260869565,0.1,208,225
149,41.37254901960784,40.7871198568873,0.13636363636363635,0.1,211,228
150,41.76470588235294,41.32379248658318,0.08695652173913043,0.1,213,231
151,41.96078431372549,41.50268336314848,0.043478260869565216,0.03333333333333333,214,232
152,42.549019607843135,42.039355992844364,0.13043478260869565,0.1,217,235
153,42.94117647058823,42.39713774597496,0.08695652173913043,0.06666666666666667,219,237
154,43.529411764705884,42.93381037567084,0.13043478260869565,0.1,222,240
155,44.11764705882353,43.47048300536673,0.125,0.1,225,243
156,44.70588235294118,44.00715563506261,0.13043478260869565,0.10344827586206896,228,246
157,45.09803921568628,44.364937388193205,0.08333333333333333,0.06896551724137931,230,248
158,45.490196078431374,44.72271914132379,0.08695652173913043,0.06666666666666667,232,250
159,45.88235294117647,45.08050089445438,0.08333333333333333,0.06666666666666667,234,252
160,46.27450980392157,45.43828264758497,0.09090909090909091,0.06666666666666667,236,254
161,46.666666666666664,45.796064400715565,0.08333333333333333,0.06666666666666667,238,256
162,46.86274509803921,45.97495527728086,0.043478260869565216,0.03333333333333333,239,257
163,47.05882352941176,46.15384615384615,0.041666666666666664,0.03333333333333333,240,258
164,47.45098039215686,46.51162790697674,0.08695652173913043,0.06666666666666667,242,260
165,47.84313725490196,46.86940966010734,0.08333333333333333,0.06666666666666667,244,262
166,48.23529411764706,47.227191413237925,0.09090909090909091,0.06666666666666667,246,264
167,48.627450980392155,47.58497316636851,0.08333333333333333,0.06666666666666667,248,266
168,49.01960784313725,47.9427549194991,0.09090909090909091,0.06666666666666667,250,268
169,49.2156862745098,48.3005366726297,0.043478260869565216,0.06666666666666667,251,270
170,49.411764705882355,48.479427549194995,0.045454545454545456,0.03333333333333333,252,271
171,49.411764705882355,48.479427549194995,0.0,0.0,252,271
172,49.80392156862745,48.837209302325576,0.09090909090909091,0.06666666666666667,254,273
173,50.0,49.01610017889087,0.041666666666666664,0.03333333333333333,255,274
174,50.19607843137255,49.19499105545617,0.043478260869565216,0.03333333333333333,256,275
175,50.588235294117645,49.55277280858677,0.08333333333333333,0.06666666666666667,258,277
176,50.98039215686274,49.910554561717355,0.08695652173913043,0.06896551724137931,260,279
177,51.37254901960784,50.268336314847936,0.08695652173913043,0.06666666666666667,262,281
178,51.9607843137255,50.80500894454383,0.13636363636363635,0.1,265,284
